0	75732	43790	538	93241	293	1851	2891	78929	4657	19944	3413	3565	770	1559	46171	47609	88261	311899	917	13962	751	22819	64017	9917	29742	887	4393	61394	1428	491	87459	217519	127838	8177	649	34858	136710	2357	744	7436	4982	973	18645	44846	1149	3212	47562	16959	2154	553	121753	6487	1535	342	1176
90581	0	275	2068	6431	383	577	2467	37070	1529	24553	1087	4599	461	722	38680	6136	17697	91013	301	231	336	1960	3368	5362	39791	1212	2964	5099	2009	536	180735	212624	1591	9827	242	165	290697	923	9360	3028	16075	795	391	124	1097	2267	5516	29292	232	79165	165155	6458	2062	4754	286
46572	315	0	497	438	1	7	3091	79605	839	72	3498	3754	3	6	2358	209	329	1059	682	58	3	95	253	3046	107	625	4192	198	1430	1	2170	118946	554	28	2	33847	92296	521	3	1777	20	4	71	45292	4	3238	195	11220	9	2	132833	166	278	1	776
4198	209	3800	0	266	2	4	4233	6205	1845	128	295	295	5	11	3935	126	553	1798	19	38	2	58	172	3354	178	17	1107	371	122	3	3287	6551	322	52	4	3176	2483	248	5	797	35	2	128	3642	7	273	112	316	6	4	10539	249	665	2	22
135435	65149	446	3122	0	424	23701	4058	61287	205611	26348	1787	7529	452	786	440502	233371	19709	98046	441	10392	13925	76781	125307	5588	44963	1985	4390	5432	3086	609	265229	154734	68646	11779	239	270	468893	563	9953	1982	15868	33715	413	189	1172	3402	238542	48875	10296	80282	244555	8373	258655	4964	486
10386	1482	53	47	4279	0	158	2734	5468	2566	17658	44	367	5781	13223	13032	2893	119294	99235	416	1374	595	1948	3244	42586	47520	2488	1388	48421	189	4548	11824	3403	5180	39560	2209	83	80752	14622	9359	20558	7272	40	1587	27	1536	93	770	11267	56	35472	13793	5266	189	24442	379
11758	10181	39	291	39567	33	0	3252	5320	1436	2621	145	692	41	66	22015	35218	1696	8793	148	1457	2192	11928	19845	4567	3962	643	1502	476	301	49	13253	3002	9939	1009	22	22	143698	383	959	1356	1499	4670	36	17	110	321	35691	16481	1579	6863	21030	475	1927	424	157
415	478	272	510	455	5261	139	0	432	533	289	528	220	945	890	4289	341	485	7301	531	424	187	476	292	2916	393	317	1918	246	576	408	2088	1529	286	910	912	405	1355	2956	699	8395	353	223	668	279	225	325	99	338	325	626	439	1842	657	2954	429
88375	73357	82971	1042	90180	214	1687	6154	0	15073	12628	6000	7176	594	1212	31616	44553	63781	217165	1814	13917	642	22077	57888	5548	21441	1673	22416	39433	2722	347	43754	295812	122145	5892	445	63412	264768	1637	522	5437	3770	888	13628	85434	773	5809	39639	30442	2048	371	240200	2853	4609	257	2244
404	1584	43	45	198483	1398	491	1168	265	0	1197	40	39	364	750	3399	2736	1195	657	79	1836	1463	2039	1658	3502	938	22	2234	287	58	748	1010	4860	622	1393	456	26	3993	1170	1012	761	778	1667	964	57	672	61	73093	55	1023	573	144	500	13898	742	29
10099	6536	44	44	18758	30898	738	3496	5002	2145	0	40	352	9209	20094	3787	11400	183349	183179	240	5625	2709	7897	14281	3625	79406	1493	4232	81786	187	7232	7869	9576	22798	63626	3732	71	52051	950	15183	1466	12634	181	2684	25	2640	87	3141	7230	260	59811	12682	3650	152	41091	246
6629	787	6638	72	1047	1	20	4176	11292	1240	113	0	507	5	10	1664	494	525	1986	228	151	7	251	632	1538	185	204	3370	354	198	3	3146	14632	1355	49	4	5589	30816	562	4	2013	31	10	123	6184	7	471	447	3722	22	4	18080	245	382	2	273
2371	5650	2100	24	7804	10	141	3510	3898	11006	608	163	0	26	54	26902	4198	2823	9986	213	1112	59	1837	5238	2535	996	197	20070	1830	66	16	10491	7106	10483	264	22	1746	30715	873	25	2869	180	76	628	2163	39	146	3367	3894	183	18	5912	775	3430	12	270
716	309	4	3	945	3683	34	5430	364	3614	3439	3	25	0	2746	3006	598	23330	21997	23	276	127	385	715	2097	9370	147	4242	10457	12	984	4550	4079	1063	7455	460	5	5280	3518	1908	5626	1480	9	331	1	334	6	153	659	11	7001	927	2162	235	4886	23
20179	300	94	85	914	3894	34	2579	10123	2083	3758	76	687	1118	0	4304	620	23777	23308	60	271	128	416	686	2132	9735	390	1998	10756	356	988	3582	12680	1136	7696	464	143	13731	1898	1994	2537	1742	9	354	52	339	177	155	1874	12	7214	23291	1486	138	5190	66
28063	49448	1074	2537	430538	9076	31610	3000	24474	703	2336	1236	6251	4279	1790	0	59550	32608	7224	2033	23244	12721	27809	60578	3934	2788	880	4267	6976	1310	1343	35895	18394	37770	3033	628	697	173187	1128	2402	2217	1963	7442	501	2354	2669	2406	118408	25575	3516	14066	11930	14296	16357	6514	2866
61141	28929	174	1254	133204	240	11043	3961	23391	1400	18202	694	3261	309	509	49135	0	11327	65440	278	4735	6733	38306	64403	23999	27545	1126	1468	3206	1375	349	153071	96445	31532	7300	158	116	264968	878	6343	3126	10779	14512	257	82	750	1505	103280	28298	4834	48682	101358	5533	1750	3282	276
478747	13949	2142	2027	40385	59176	1523	1930	226208	3711	54248	1734	16517	16354	38783	47672	25144	0	338209	1927	12861	5797	17187	31128	2487	161461	10118	31671	155195	8352	15104	184429	1502303	48788	115704	6626	3643	405363	1750	29392	2602	24987	385	4967	1124	4788	3870	7347	51201	544	108522	556823	87803	246	74931	1741
238792	58939	1111	1105	176506	205158	6947	257086	111816	148935	176009	902	8508	57756	137991	21500	119170	1270890	0	3665	52523	25786	83102	134309	266764	480082	20222	13099	502021	4500	49891	283865	71838	199488	406978	24318	1925	795936	48299	101826	69255	84169	1724	17475	582	15578	2123	30220	108648	2307	374680	303146	136361	9381	270579	3535
1121	3275	61	49	11848	140	513	4533	2107	1644	17	59	189	2	7	3804	4030	705	1566	0	2121	1155	4404	8079	2704	299	63	1816	280	227	2	4206	3623	3762	150	5	36	23496	115	110	2025	41	41	49	29	44	258	1801	12012	18	90	3902	194	2436	264	1260
38092	1346	113	822	5773	340	477	4506	16185	945	22571	459	2022	385	643	9880	4901	15405	80425	198	0	288	1509	2782	1390	36962	790	1576	4216	854	481	23774	59044	1404	9607	192	76	176515	797	9025	2701	13792	643	368	52	982	908	4823	20192	201	68233	74100	753	1244	3840	189
9466	4386	27	203	20321	57	1801	2060	4303	1828	4046	112	511	63	115	7081	16795	2693	14441	49	726	0	5386	9984	1412	5879	187	4053	784	236	82	19322	4887	4879	1583	33	17	49188	812	1549	2965	2518	2200	60	13	171	226	16969	5266	716	11374	18451	665	2257	656	48
74055	6819	218	1539	28415	260	2554	2365	30469	884	19508	833	3819	325	536	14121	24024	11542	65260	385	1097	1553	0	14610	8899	26922	1514	3494	3350	1625	379	40311	54834	7262	6948	157	135	369539	288	6712	1059	11241	3238	284	96	802	1744	24960	41564	1103	52889	123288	1438	1262	3468	370
127392	13284	407	3235	52080	263	4781	3599	55593	12179	20002	1580	7725	337	582	219413	45038	12768	65975	385	2047	3011	14844	0	13490	28380	1402	2783	3698	3172	391	160423	211174	13036	7847	178	255	352503	1006	7724	3278	11348	6334	310	202	885	3255	48435	41238	1909	55230	238035	5544	15217	3589	386
16843	4526	1158	1438	25933	24334	1734	2754	5921	735	1734	1724	2004	1168	1397	59136	13578	1236	126106	2224	3234	2260	7900	23393	0	1590	2589	15277	1414	554	1092	112865	4396	14227	681	607	1282	246240	2760	2754	10551	751	4939	1337	672	1388	1424	7363	2973	3765	73668	4532	44244	223	20248	2385
196148	7712	887	811	24096	61740	921	3540	85421	1236	54385	765	6335	16116	39709	6711	15287	357941	332167	619	6961	3387	11370	17112	3478	0	3579	1904	152392	3452	13899	20490	451038	28225	120854	7162	1385	127543	1394	26941	2078	24853	230	5091	440	4527	1582	3840	17325	300	110823	219126	8633	77	79565	639
381	918	22	17	3218	389	136	2591	749	932	53	19	71	7	19	4443	1034	2049	4157	88	567	304	1258	2208	2919	851	0	21534	806	85	7	2949	3337	975	462	15	11	1262	94	332	1605	130	11	147	9	128	86	534	664	5	252	1355	143	1254	775	68
5649	433	2730	2402	967	12573	75	2627	6093	1234	3978	3217	6835	17195	2034	16559	1014	19455	43519	2701	1014	48	882	593	3612	8830	19228	0	102944	1003	1047	8531	5700	1925	5978	1412	1336	180450	1005	26901	2552	4023	130	3075	3076	2559	886	114	116485	129	5215	31129	6701	3476	21068	2892
43293	643	193	179	1950	56908	77	4142	18782	2187	55840	168	1354	16938	41072	6387	1210	369099	351482	200	572	294	824	1388	2108	153413	1179	3053	0	767	15300	41488	57787	2256	130003	7265	326	39168	1252	28928	2072	22948	18	5170	109	4942	350	344	5328	25	116069	53740	18707	141	81438	180
3026	6606	2657	32	9075	13	164	1463	4880	1347	824	201	209	36	69	4659	4568	3710	12401	49	1233	65	2154	5572	6702	1311	49	3714	2571	0	22	2940	12544	12108	327	27	2077	7564	338	35	1041	225	84	883	2773	46	182	4047	868	193	23	7340	226	431	16	65
1517	104	8	6	318	6154	12	3803	764	2658	5378	7	54	1791	4159	2523	192	39297	33424	12	88	47	133	240	1255	15288	74	3407	15290	28	0	1599	2716	344	13295	745	12	2526	1790	3159	2586	2405	3	537	4	515	14	54	349	4	11735	2069	719	166	8459	12
5531	2085	457	238	7756	1251	356	2782	4314	114	341	337	686	1803	322	3169	1429	4485	20421	76	1091	265	1435	3301	8969	3154	156	2479	2917	207	187	0	17978	2865	2248	164	442	7465	1400	714	4886	1147	131	147	271	524	460	831	11348	52	651	8841	3480	2898	2862	114
37814	21012	15594	753	61372	187	687	3523	47096	2130	5119	2550	3466	49	83	12110	18455	19234	32448	2787	3710	1301	8839	26289	2671	4455	2952	8395	1643	1155	165	32112	0	13244	274	167	8969	92670	1662	211	1883	458	1516	1838	17160	57	2841	6694	18385	2179	202	63799	4041	1166	232	2069
117151	11135	362	2612	47565	939	4355	2602	48439	910	70047	1378	6240	1163	1938	30904	40512	44883	255626	498	1574	2402	12780	22905	4506	104945	2044	22329	12746	2819	1455	91180	204540	0	25847	607	233	511833	426	25302	1691	42459	5599	1058	175	3203	2765	38941	57565	1748	203579	203969	3234	1272	11745	549
34450	193	169	154	626	49496	22	1895	17292	990	46273	138	1257	13509	33039	9904	367	299269	270131	397	172	90	260	442	2073	125305	2369	1208	124033	632	11235	41723	46978	681	0	5750	261	87548	366	24510	544	20436	6	4491	97	3764	310	97	11807	8	92075	42305	18714	60	65005	390
415	251	2	2	731	1914	27	2463	189	3941	1712	2	14	586	1264	2138	426	11646	10590	4	220	106	325	511	1307	4833	25	4097	4657	8	436	2435	3255	811	3954	0	3	915	496	897	825	823	7	177	1	155	4	117	118	9	3886	515	1066	256	2681	4
27142	675	27265	331	913	2	15	3871	49112	3142	104	2098	2019	5	10	3745	422	456	1675	525	129	6	204	567	2187	152	499	4115	289	872	2	3497	79096	1180	39	4	0	72548	622	4	2030	29	8	98	27165	6	1794	385	8665	19	3	71504	255	1103	2	696
53589	181552	2932	2208	654574	43786	26727	11678	90696	56571	5937	2652	9304	932	2115	212214	199272	234382	486940	66403	120814	58357	251785	439109	136982	106878	2847	461668	93348	10294	786	104242	123895	198617	47068	1718	1708	0	10755	33781	172323	13926	2198	16355	1408	15647	11729	108225	560173	955	28398	187515	5359	69887	92584	53946
991	388	19	11	240	2407	31	4349	410	1054	3021	21	35	1343	3552	5756	191	12455	13137	78	107	23	57	316	2126	5120	89	1097	3861	14	867	6152	1302	298	5185	481	9	9607	0	1055	1577	1005	13	259	6	86	17	124	809	9	4705	926	3106	134	3088	88
7903	2897	33	34	8561	10386	300	2950	3472	2111	9467	30	256	3066	7224	21277	5593	67191	59242	268	2464	1237	3939	6549	5908	28017	1591	42807	27980	141	2736	6758	4702	10211	23174	1261	54	56851	1169	0	1816	4530	81	981	20	899	67	1512	7313	102	19693	9094	3022	131	15432	266
5293	1165	108	67	765	5900	106	4897	2386	2669	7455	111	175	3074	7667	9497	589	27943	29446	961	347	73	183	916	21492	10765	990	3292	9119	75	2003	31124	3132	945	12775	1255	51	118081	3486	2568	0	2395	41	585	31	209	99	358	9945	32	11325	5380	14490	319	8079	1061
9687	2330	50	45	6934	6246	269	4973	5097	4200	6323	41	346	1995	4736	5551	4248	38811	39010	50	2095	910	2935	4804	3342	16525	278	1490	16691	196	1664	2440	10448	7702	12897	769	78	10070	1693	3134	2365	0	68	625	25	520	91	1166	1445	92	13221	11952	1168	267	8643	51
922	8992	2	19	35897	8	3324	3198	372	1589	527	10	48	9	14	12048	32693	367	1715	4	1260	1876	10327	17195	3162	842	15	1431	104	21	12	7404	3307	9073	207	5	1	3536	575	197	1955	304	0	7	1	22	22	28733	396	1423	1593	1558	279	2167	96	4
15033	323	77	64	963	3204	33	4194	7650	3776	2797	66	563	887	2192	4775	546	20131	17397	192	272	136	411	677	3880	8621	1065	4332	8520	279	748	3960	25426	1026	6691	355	121	39075	684	1570	1006	1250	9	0	42	263	128	147	5753	12	5735	19327	1853	245	4438	176
41037	671	37719	465	910	2	17	2116	67669	1979	91	2894	3073	4	9	2301	424	434	1555	730	134	7	214	591	2892	161	678	1459	300	1165	2	2882	91145	1248	42	3	29566	94478	986	4	3382	27	8	99	0	5	2679	407	11976	20	3	107836	210	651	1	928
1362	326	7	6	1012	1419	38	7569	647	3059	1218	5	50	377	961	2100	610	8318	7407	69	313	151	448	766	6941	3509	390	2658	3336	27	342	15986	2133	1163	2684	147	11	15133	2323	676	3420	572	10	125	4	0	11	179	1941	12	2626	1720	7586	212	1803	65
5229	3388	4650	59	4730	3	78	1203	8277	789	191	341	360	7	17	1416	2407	897	3073	93	655	33	1099	3099	2903	287	85	4576	593	156	4	2648	10172	6333	76	6	3700	12488	252	7	746	48	42	192	4688	11	0	2067	1443	101	5	13105	175	282	4	106
50861	23706	159	1108	94329	243	9592	2827	22054	59677	17691	622	2893	265	447	102683	85266	11006	57215	187	3632	5368	26595	50346	16290	25072	814	3267	3310	1099	351	12061	95633	24124	6844	151	99	201113	790	6740	2872	9850	12144	271	73	748	1190	0	19609	3956	50590	93526	449	78877	3053	214
34536	15177	1978	1565	54986	2183	2300	2206	60219	1792	285	1857	5762	45	104	54147	18928	11067	23214	50800	10369	4824	22646	38753	1077	5269	2283	236863	5099	7385	40	248790	4729	15948	2405	90	1128	830594	203	1736	3219	709	194	828	850	752	7593	9012	0	91	1488	112670	11933	2330	4621	44428
464	2670	1	11	11760	4	1058	2795	198	1997	276	6	27	4	7	2637	11134	167	905	2	443	656	3548	5523	1804	411	8	2540	48	11	6	3807	2221	2976	109	2	1	1911	316	99	1095	164	1378	4	1	12	11	10637	201	0	728	883	123	2544	48	2
