0	1660	1599	531	736	2019	1810	2054	1650	1730	1916	889	1018	697	2001	1009	1767	1705	1951	1710
1660	0	897	1313	971	463	270	650	50	999	524	1080	674	1226	588	821	211	244	422	1009
1599	897	0	1231	878	1255	1062	1291	906	129	1153	987	649	1133	1229	728	1003	959	1200	126
531	1313	1231	0	361	1672	1480	1708	1324	1385	1570	389	680	195	1675	563	1420	1373	1618	1385
736	971	878	361	0	1330	1086	1365	930	974	1227	308	375	406	1310	282	1078	984	1270	984
2019	463	1255	1672	1330	0	248	1036	480	1357	910	1439	1033	1584	974	1179	269	534	84	1368
1810	270	1062	1480	1086	248	0	843	267	1176	718	1234	840	1384	744	986	84	335	199	1176
2054	650	1291	1708	1365	1036	843	0	654	1393	200	1474	1068	1619	82	1214	784	781	959	1403
1650	50	906	1324	930	480	267	654	0	999	529	1081	684	1226	571	830	228	257	422	989
1730	999	129	1385	974	1357	1176	1393	999	0	1256	1100	751	1230	1359	830	1106	1062	1297	73
1916	524	1153	1570	1227	910	718	200	529	1256	0	1336	927	1482	177	1077	658	655	864	1266
889	1080	987	389	308	1439	1234	1474	1081	1100	1336	0	543	357	1411	276	1187	1145	1361	1098
1018	674	649	680	375	1033	840	1068	684	751	927	543	0	647	1006	335	781	737	987	762
697	1226	1133	195	406	1584	1384	1619	1226	1230	1482	357	647	0	1566	454	1332	1286	1527	1237
2001	588	1229	1675	1310	974	744	82	571	1359	177	1411	1006	1566	0	1153	722	738	899	1350
1009	821	728	563	282	1179	986	1214	830	830	1077	276	335	454	1153	0	927	883	1123	841
1767	211	1003	1420	1078	269	84	784	228	1106	658	1187	781	1332	722	927	0	282	212	1116
1705	244	959	1373	984	534	335	781	257	1062	655	1145	737	1286	738	883	282	0	482	1060
1951	422	1200	1618	1270	84	199	959	422	1297	864	1361	987	1527	899	1123	212	482	0	1318
1710	1009	126	1385	984	1368	1176	1403	989	73	1266	1098	762	1237	1350	841	1116	1060	1318	0
