0	99075	390	100914	25331	62489	65702	19329	31185	12817	6273	76768	112388	291898	172708	10507	59496	21556	2128	470
117287	0	497	49679	34439	53245	7787	321	2477	7358	3778	6544	234578	271624	2245	13807	7519	41597	2705	6148
14637	1938	0	7186	23363	17116	3658	1743	2572	60729	1976	64843	15505	4268	6612	51043	989	15610	237	33442
118067	93762	277	0	17968	43359	62178	18292	29512	7417	30939	54454	55054	421165	163445	7453	56305	41227	6424	333
13020	8474	41634	6392	0	5065	15996	7623	11248	5044	5840	106202	10834	13122	28909	83600	4324	9876	190	54772
35553	62877	11717	32714	2987	0	81365	29434	38526	4993	5589	9357	44968	25373	50046	4010	148651	35801	21998	8879
77827	40759	336	32965	23308	66180	0	6288	48495	32489	1896	4429	201510	124146	43943	9344	147169	39096	2431	4161
51569	1750	433	21843	30041	12735	6543	0	2082	1750	2199	5708	30094	80903	1886	12044	6318	27291	1639	5363
93433	9160	352	39575	24420	19142	34255	1413	0	12082	4569	4640	52150	74574	9875	9790	33073	52556	1604	4359
22989	6286	32014	8001	2254	75552	18430	4613	10014	0	20517	1921	159093	5633	17885	917	9881	4150	294	25976
8019	601	16960	7734	5385	21092	1400	1359	1142	4591	0	138483	11623	7424	2506	7743	145	159270	4419	26497
54648	860	80930	26829	74379	8586	1624	774	1142	2644	4125	0	59006	80275	2935	162504	439	7321	186	106467
7326	2683	1603	5394	476	4512	1821	1519	1833	12094	3107	4149	0	24856	3846	3166	1086	14805	4016	3849
47939	27193	265	65050	6729	15914	26185	4697	11196	3459	11268	2119	43540	0	17690	362	8670	24178	1631	317
157879	14542	1303	66873	90309	40514	54384	2243	17302	5940	30380	17159	127113	272191	0	36206	52507	72649	1603	16121
48866	267	64140	23990	58948	13027	505	241	355	2875	1687	163609	55326	59428	912	0	136	15706	85	84378
67504	31703	320	28593	22208	134717	118564	4891	37720	22513	4236	4220	16914	122542	34180	8904	0	27637	102372	3964
44824	20027	2948	83329	377	71535	23822	13800	28732	1533	327353	6384	353891	5946	22449	3245	11841	0	3178	6049
15760	2435	1176	10346	1061	25904	4507	2777	3149	1595	4428	272	23944	3981	920	1183	109670	2027	0	699
13419	5939	50230	6588	46164	14476	11212	5343	7883	162482	12405	128129	60182	4116	20262	100861	3031	21223	246	0
