0	79274	327	82312	21424	55986	57753	16085	26002	11261	5434	65335	99732	237351	146417	9008	50086	17413	1828	392
104448	0	428	43311	30436	46099	6828	280	2066	6312	3154	5558	210387	219470	1984	11908	6760	35824	2307	5419
12500	1614	0	5763	19739	14826	3023	1521	2306	48877	1749	52553	12893	3733	5489	41731	807	12913	190	29383
96775	83071	230	0	14515	38344	54895	15638	25258	6553	27269	45542	48847	357538	142660	6486	46141	33013	5661	269
11116	7420	35026	5391	0	4415	13864	6405	9115	4421	5058	94238	8677	10934	24298	72246	3591	7962	171	46736
28485	53776	10054	28298	2534	0	70288	25314	34414	4392	4962	7562	38417	21770	42527	3409	133573	29976	18626	7381
68014	33110	291	28443	20486	52964	0	5139	39970	29237	1667	3837	169988	111621	37435	8015	125623	34329	2102	3586
46290	1516	355	17836	24401	10261	5328	0	1818	1533	1939	4997	25172	67035	1620	10402	5089	24312	1419	4490
80049	8066	305	32318	21919	16711	30673	1209	0	10706	3683	3905	43242	66630	8301	8552	27512	42967	1378	3604
18518	5623	26230	6770	1837	61175	16410	3976	8762	0	17201	1537	136645	4822	15575	813	8416	3576	242	22691
6758	513	14489	6944	4657	18721	1133	1180	935	3974	0	113885	10066	6109	2195	6344	129	138590	3644	22700
45768	720	66947	22215	62409	7043	1448	661	917	2173	3584	0	50827	71525	2359	134119	355	6113	153	94983
6342	2307	1364	4418	410	3695	1586	1311	1480	10054	2616	3482	0	21747	3371	2694	977	12884	3459	3197
41179	23841	228	54183	5759	13100	20969	4198	9856	2986	9519	1765	34998	0	15716	303	7552	21424	1380	283
134618	12333	1098	58162	73021	35607	44029	1837	15408	4758	25846	15367	101907	221900	0	29331	43100	58498	1398	13973
42170	238	52228	20021	48609	10490	435	216	303	2501	1474	137941	47498	48235	792	0	110	12577	74	74895
57061	26509	282	23937	18959	114630	96000	4377	31135	18750	3754	3431	14968	104256	27728	7220	0	22233	90901	3175
37499	17824	2636	73284	316	59144	20247	12136	25490	1266	283206	5430	309611	5080	19867	2672	9961	0	2651	5163
13214	1987	1041	9012	926	22661	3914	2311	2739	1292	3912	244	21499	3192	738	1027	95455	1748	0	612
11612	5315	44881	5578	39011	12062	9339	4759	7092	139369	10967	107894	51371	3381	17692	90758	2563	18038	201	0
